thumb,index,middle,ring,pinky,top_finger,bottom_finger
"0.725597,0.788889,-0.016731;0.702131,0.699351,-0.018364;0.729645,0.631690,-0.020350;0.769778,0.607065,-0.023152","0.714157,0.625413,0.000735;0.703387,0.543000,-0.003920;0.699524,0.490942,-0.009895;0.696796,0.446499,-0.017614","0.752146,0.621791,-0.003860;0.764792,0.535826,-0.010108;0.769831,0.489478,-0.020812;0.769306,0.458628,-0.030186","0.784194,0.634844,-0.012101;0.797015,0.548644,-0.030384;0.786240,0.507728,-0.050673;0.772526,0.484553,-0.064660","0.810642,0.657376,-0.021329;0.797126,0.593299,-0.045087;0.774301,0.600553,-0.056948;0.753872,0.625840,-0.064794",pinky5,thumb1
"0.713023,0.801253,-0.019142;0.683150,0.715278,-0.026191;0.689377,0.637550,-0.033183;0.705429,0.574419,-0.038700","0.719673,0.613922,0.002590;0.722658,0.529972,-0.012158;0.728741,0.475267,-0.027987;0.737031,0.427562,-0.040400","0.754505,0.607361,-0.002198;0.749059,0.513476,-0.015333;0.745598,0.452971,-0.030363;0.743883,0.401507,-0.041277","0.788994,0.620613,-0.011791;0.797679,0.527174,-0.029059;0.801386,0.470518,-0.041140;0.803571,0.421154,-0.049166","0.825157,0.648973,-0.023733;0.841522,0.576173,-0.039999;0.849061,0.529047,-0.046801;0.853001,0.483922,-0.051029",middle3,index2
"0.708526,0.788198,-0.009808;0.677560,0.694617,-0.009590;0.677008,0.619322,-0.011482;0.706894,0.582523,-0.012535","0.715700,0.631539,0.019775;0.711492,0.551612,0.017459;0.709102,0.503606,0.010895;0.709175,0.458988,0.002085","0.749324,0.627206,0.012868;0.746169,0.554720,-0.003473;0.729887,0.543975,-0.017780;0.716150,0.550393,-0.022790","0.783619,0.633609,0.002429;0.787514,0.555747,-0.006964;0.783403,0.501166,-0.017559;0.779780,0.456416,-0.025029","0.818008,0.654496,-0.009969;0.840626,0.609448,-0.013243;0.854621,0.576577,-0.016991;0.865829,0.549478,-0.021445",middle3,thumb1
"0.698509,0.807371,-0.018498;0.658834,0.718425,-0.022357;0.653323,0.641376,-0.025686;0.643727,0.574256,-0.028126","0.701612,0.618011,0.000920;0.700156,0.533541,-0.010489;0.703844,0.481396,-0.022301;0.708007,0.434591,-0.032202","0.739847,0.612572,-0.004716;0.754610,0.522031,-0.015333;0.767558,0.464184,-0.028173;0.777841,0.412732,-0.037974","0.770435,0.626197,-0.015342;0.779124,0.536612,-0.032326;0.786881,0.476551,-0.046224;0.791846,0.422490,-0.055327","0.797641,0.650375,-0.028096;0.787107,0.574545,-0.046296;0.777407,0.527651,-0.055774;0.767622,0.485167,-0.061981",middle3,pinky5
"0.709834,0.783371,-0.011402;0.683913,0.688781,-0.013707;0.686725,0.613812,-0.018189;0.723261,0.588872,-0.021623","0.719500,0.635113,0.023817;0.715735,0.554528,0.021174;0.714802,0.508391,0.013428;0.717028,0.464191,0.003857","0.750872,0.631322,0.017866;0.749388,0.559093,-0.001903;0.733318,0.562067,-0.016950;0.720784,0.583491,-0.019448","0.782908,0.636625,0.008267;0.784961,0.561925,0.002345;0.782283,0.505064,-0.004091;0.781269,0.459082,-0.007614","0.817498,0.656866,-0.003966;0.820930,0.608125,0.000810;0.821453,0.573892,0.004131;0.820931,0.546944,0.004671",middle3,thumb1
"0.727021,0.798163,-0.015563;0.710501,0.707354,-0.014805;0.737757,0.646005,-0.013207;0.771272,0.624072,-0.012348","0.715710,0.619452,0.002769;0.711675,0.526670,-0.001057;0.714184,0.471386,-0.007114;0.715380,0.424566,-0.014476","0.753627,0.613260,-0.001712;0.754813,0.520788,-0.003297;0.761147,0.469484,-0.010526;0.764589,0.428418,-0.017759","0.788200,0.626343,-0.009906;0.798855,0.534047,-0.024486;0.800991,0.479100,-0.041498;0.801385,0.432732,-0.054917","0.820673,0.655744,-0.019172;0.814507,0.601375,-0.040511;0.796125,0.623227,-0.046655;0.780549,0.655569,-0.050859",thumb1,pinky5
"0.715968,0.779416,-0.017424;0.700670,0.686025,-0.024043;0.727541,0.617431,-0.031695;0.774149,0.602455,-0.037377","0.727684,0.611745,-0.003009;0.732280,0.527751,-0.012097;0.737824,0.480420,-0.017869;0.741841,0.440989,-0.022530","0.763485,0.611253,-0.005025;0.788614,0.525811,-0.018834;0.798254,0.471758,-0.028779;0.805476,0.429684,-0.034792","0.794433,0.625340,-0.010049;0.803058,0.561568,-0.029400;0.779164,0.581312,-0.031342;0.761544,0.604357,-0.026724","0.821474,0.647590,-0.017023;0.835716,0.584176,-0.029868;0.842061,0.541539,-0.031358;0.846895,0.503932,-0.030187",ring4,thumb1
"0.702919,0.789917,-0.020009;0.672450,0.708069,-0.028163;0.680758,0.634113,-0.035779;0.715850,0.595056,-0.042162","0.720278,0.605017,-0.007728;0.723499,0.516349,-0.021758;0.729655,0.462316,-0.034446;0.737600,0.418925,-0.043789","0.754821,0.605164,-0.010576;0.752599,0.508601,-0.020636;0.752768,0.447629,-0.031415;0.753534,0.401331,-0.038422","0.790090,0.624464,-0.017115;0.797576,0.543457,-0.029204;0.800128,0.495558,-0.037638;0.800948,0.457760,-0.042764","0.825629,0.660232,-0.026176;0.845590,0.605470,-0.036714;0.855237,0.572095,-0.039948;0.861240,0.543504,-0.041235",index2,middle3
"0.707027,0.804280,-0.025576;0.671867,0.716981,-0.033180;0.669759,0.637617,-0.038393;0.666387,0.572952,-0.041855","0.731180,0.613431,-0.011713;0.735463,0.522556,-0.025936;0.744662,0.468049,-0.038687;0.754418,0.423442,-0.047944","0.770473,0.610274,-0.011872;0.785595,0.511176,-0.021244;0.799196,0.449338,-0.031214;0.810664,0.403827,-0.038314","0.805022,0.625487,-0.016726;0.812864,0.531421,-0.029085;0.816671,0.472454,-0.038886;0.820656,0.424308,-0.046164","0.838935,0.658180,-0.024557;0.860606,0.598152,-0.036622;0.873262,0.560641,-0.042143;0.883937,0.529221,-0.045832",middle3,ring4
"0.728217,0.831844,-0.026597;0.701853,0.742465,-0.039040;0.714515,0.659910,-0.050760;0.723276,0.587258,-0.060979","0.747700,0.627695,-0.007922;0.759381,0.538971,-0.030115;0.776911,0.481187,-0.051971;0.795665,0.429602,-0.067810","0.780903,0.621800,-0.011978;0.781516,0.514398,-0.030031;0.788351,0.447690,-0.047173;0.796096,0.390513,-0.059497","0.814201,0.637121,-0.021747;0.813141,0.531201,-0.042956;0.812934,0.467756,-0.055004;0.815187,0.411568,-0.062951","0.853697,0.668482,-0.035046;0.872283,0.584604,-0.053604;0.883291,0.531005,-0.060726;0.891277,0.481358,-0.065307",ring4,index2
