thumb,index,middle,ring,pinky,top_finger,bottom_finger
"0.707938,0.789942,-0.026962;0.673994,0.708160,-0.036797;0.665936,0.629964,-0.045211;0.664657,0.560708,-0.051594","0.729635,0.611491,0.000052;0.740167,0.523788,-0.015628;0.750457,0.470381,-0.032529;0.761523,0.422884,-0.045582","0.767635,0.609388,-0.001432;0.773290,0.513943,-0.014652;0.777987,0.452834,-0.030779;0.781634,0.400464,-0.043222","0.801058,0.624761,-0.008860;0.814439,0.533444,-0.026374;0.821567,0.475079,-0.039540;0.826387,0.423205,-0.048805","0.834548,0.654953,-0.019424;0.855480,0.587344,-0.036631;0.867587,0.542483,-0.044998;0.876227,0.499752,-0.050548",middle3,index2
"0.726011,0.787955,-0.019923;0.715558,0.705552,-0.026460;0.748285,0.653776,-0.032625;0.787256,0.633690,-0.039230","0.730247,0.611529,-0.008942;0.735202,0.520439,-0.020380;0.743338,0.465260,-0.030801;0.749605,0.418188,-0.040521","0.767902,0.612767,-0.013695;0.781045,0.523022,-0.022372;0.792286,0.468528,-0.034216;0.799565,0.423404,-0.044709","0.799854,0.632552,-0.022308;0.811787,0.563212,-0.038099;0.814079,0.510857,-0.056367;0.814008,0.467195,-0.070762","0.828470,0.665606,-0.032835;0.819085,0.624626,-0.051029;0.796533,0.627819,-0.059373;0.775620,0.638493,-0.066153",pinky5,thumb1
"0.706566,0.790315,-0.017722;0.686687,0.702888,-0.023828;0.698268,0.633382,-0.031068;0.716606,0.575734,-0.036268","0.736555,0.612217,0.012725;0.749627,0.532446,0.000881;0.761283,0.482777,-0.014051;0.773483,0.438075,-0.025904","0.766760,0.612940,0.007301;0.774033,0.523952,-0.003240;0.779392,0.465255,-0.016578;0.783526,0.414310,-0.026065","0.794151,0.629291,-0.003683;0.795447,0.539722,-0.017721;0.791535,0.480677,-0.026646;0.788844,0.429424,-0.032268","0.826253,0.658716,-0.017733;0.835473,0.582245,-0.029988;0.838133,0.533526,-0.034270;0.839095,0.488373,-0.036835",index2,ring4
"0.723731,0.787177,-0.021592;0.708978,0.698520,-0.028981;0.732134,0.632438,-0.036936;0.768801,0.613814,-0.043939","0.724499,0.605914,-0.002888;0.730196,0.519713,-0.014832;0.736527,0.466952,-0.024451;0.741836,0.423593,-0.031031","0.762623,0.606734,-0.005498;0.782071,0.514498,-0.018441;0.795098,0.455272,-0.030184;0.806422,0.406662,-0.037322","0.796357,0.624567,-0.012452;0.811107,0.555887,-0.032039;0.810275,0.537654,-0.042037;0.810203,0.525198,-0.043973","0.824641,0.649295,-0.021682;0.826118,0.579962,-0.033355;0.824323,0.532861,-0.036015;0.823732,0.493596,-0.036334",thumb1,ring4
"0.701835,0.785014,-0.019264;0.678338,0.696925,-0.025793;0.685887,0.625553,-0.032280;0.687534,0.560284,-0.037797","0.722198,0.612270,-0.000332;0.727319,0.529762,-0.014573;0.732884,0.478881,-0.029184;0.739192,0.432772,-0.041050","0.753663,0.611827,-0.005418;0.769603,0.521560,-0.017153;0.782547,0.466895,-0.031501;0.794844,0.418191,-0.042912","0.778112,0.629004,-0.015398;0.791342,0.538741,-0.030635;0.800584,0.482833,-0.044262;0.808175,0.433670,-0.054373","0.800836,0.657566,-0.027922;0.798539,0.586493,-0.044155;0.791667,0.541132,-0.053812;0.783753,0.501298,-0.060921",middle3,pinky5
"0.732156,0.784277,-0.012348;0.725050,0.689877,-0.011440;0.755350,0.633827,-0.010558;0.788035,0.621929,-0.011033","0.729351,0.610523,0.005177;0.732292,0.520164,0.002108;0.739599,0.464771,-0.003667;0.743626,0.417183,-0.011432","0.766736,0.607561,-0.001832;0.775155,0.519737,-0.002897;0.786687,0.467666,-0.011317;0.792656,0.426728,-0.020136","0.801155,0.623698,-0.012350;0.816695,0.536810,-0.026607;0.825480,0.478628,-0.045898;0.831294,0.431144,-0.061641","0.832807,0.654116,-0.023579;0.820783,0.603486,-0.045332;0.797847,0.624499,-0.053676;0.779120,0.654811,-0.060229",thumb1,pinky5
"0.699728,0.793787,-0.019625;0.661186,0.718754,-0.033980;0.650396,0.647749,-0.050727;0.689653,0.615777,-0.064334","0.703625,0.628094,0.005694;0.701211,0.559240,-0.029942;0.696289,0.583491,-0.059693;0.695703,0.618888,-0.073532","0.739259,0.612921,0.000649;0.743052,0.516151,-0.013534;0.742985,0.456575,-0.025435;0.743153,0.407503,-0.033027","0.775874,0.621711,-0.012421;0.780557,0.529540,-0.026231;0.782267,0.474567,-0.033341;0.781370,0.427820,-0.036596","0.811826,0.648621,-0.028729;0.821126,0.577070,-0.035520;0.825300,0.534074,-0.033779;0.826971,0.496471,-0.031603",index2,thumb1
"0.705276,0.785134,-0.018819;0.679177,0.700620,-0.025662;0.684705,0.623381,-0.033204;0.706065,0.565454,-0.039418","0.725371,0.614359,0.008740;0.732575,0.528740,-0.006302;0.741164,0.473962,-0.023088;0.751094,0.426470,-0.036247","0.759738,0.610194,0.003963;0.763644,0.513824,-0.009730;0.766231,0.452037,-0.026391;0.768140,0.398849,-0.038513","0.792341,0.624457,-0.006015;0.802517,0.529425,-0.023457;0.807238,0.471937,-0.036441;0.809952,0.422615,-0.045038","0.827291,0.654468,-0.018504;0.846852,0.586969,-0.034770;0.855556,0.541182,-0.042324;0.859998,0.498070,-0.047072",middle3,index2
"0.716446,0.784280,-0.019758;0.703958,0.693562,-0.029355;0.726608,0.629281,-0.040045;0.769796,0.605498,-0.048471","0.723163,0.605461,-0.006569;0.730483,0.516585,-0.019862;0.737256,0.464228,-0.027997;0.743811,0.422446,-0.032749","0.759356,0.607586,-0.008393;0.780062,0.518920,-0.027221;0.791367,0.458114,-0.039942;0.802525,0.407814,-0.046490","0.792164,0.625511,-0.013481;0.796432,0.568610,-0.038858;0.775422,0.610214,-0.041195;0.762188,0.648415,-0.033912","0.821235,0.649308,-0.020531;0.832469,0.581693,-0.036228;0.836939,0.537591,-0.037541;0.841075,0.496422,-0.034819",thumb1,ring4
"0.704003,0.792585,-0.027575;0.675499,0.711732,-0.038674;0.677443,0.638266,-0.047949;0.678704,0.571464,-0.054843","0.728472,0.610369,-0.006708;0.733909,0.523543,-0.021062;0.740974,0.471268,-0.034880;0.749014,0.426287,-0.045474","0.765096,0.608777,-0.007164;0.776814,0.515142,-0.016808;0.786397,0.456924,-0.027253;0.793795,0.410775,-0.035308","0.798099,0.626253,-0.013325;0.804914,0.533801,-0.026579;0.806316,0.477310,-0.036180;0.807338,0.429318,-0.043640","0.832255,0.660266,-0.022947;0.854614,0.600442,-0.036048;0.867019,0.560701,-0.042498;0.877246,0.524363,-0.047151",middle3,ring4
"0.697854,0.787003,-0.018369;0.672170,0.696896,-0.024438;0.680448,0.621278,-0.030712;0.685145,0.554441,-0.036227","0.716641,0.612603,0.003207;0.726852,0.529441,-0.012079;0.740676,0.476629,-0.027707;0.755100,0.430744,-0.039609","0.749154,0.612571,-0.002223;0.767441,0.523382,-0.015106;0.783531,0.466075,-0.030395;0.798756,0.414311,-0.042013","0.775598,0.629594,-0.012932;0.790826,0.538999,-0.030213;0.801804,0.479437,-0.044865;0.811665,0.428436,-0.054728","0.800321,0.656582,-0.026029;0.796102,0.580137,-0.043945;0.788758,0.533157,-0.054293;0.781172,0.492512,-0.061309",middle3,pinky5
"0.737365,0.790745,-0.017518;0.716538,0.693359,-0.022819;0.730572,0.610056,-0.029931;0.744837,0.540241,-0.035416","0.770902,0.598585,0.018200;0.788213,0.511723,0.004928;0.804012,0.458925,-0.011675;0.821005,0.412771,-0.024492","0.803984,0.598642,0.011967;0.812468,0.499441,0.000887;0.822053,0.442132,-0.013031;0.832147,0.394953,-0.022940","0.835799,0.616729,-0.000619;0.842328,0.519973,-0.016181;0.846378,0.457509,-0.025501;0.851995,0.403556,-0.031560","0.873069,0.647632,-0.016443;0.889240,0.566358,-0.029995;0.896690,0.513449,-0.033957;0.902532,0.464322,-0.036312",ring4,index2
"0.736088,0.784781,-0.016155;0.715381,0.690479,-0.022559;0.728567,0.610887,-0.030766;0.741908,0.541613,-0.036813","0.766356,0.598608,0.018492;0.782220,0.517140,0.007799;0.795178,0.466824,-0.005652;0.807756,0.425538,-0.016213","0.797468,0.599375,0.012120;0.799690,0.507529,0.003416;0.804577,0.457570,-0.006532;0.808733,0.417091,-0.012749","0.828684,0.614954,-0.000315;0.828096,0.518930,-0.013241;0.830148,0.455020,-0.018791;0.832765,0.399282,-0.022175","0.865776,0.642602,-0.015821;0.872859,0.566238,-0.026669;0.874745,0.516911,-0.027595;0.875139,0.472592,-0.027691",index2,ring4
"0.740184,0.790133,-0.016069;0.707974,0.697019,-0.024614;0.709875,0.617453,-0.036019;0.754171,0.591793,-0.044904","0.767045,0.619182,0.013755;0.774103,0.546278,-0.017997;0.767549,0.558782,-0.046894;0.761053,0.585635,-0.060793","0.805206,0.609750,0.008226;0.820473,0.508406,-0.000375;0.829671,0.446615,-0.010717;0.837308,0.396829,-0.017642","0.841309,0.626064,-0.005115;0.856328,0.535270,-0.013983;0.865111,0.479768,-0.019834;0.869536,0.432597,-0.023044","0.875146,0.663763,-0.021786;0.892768,0.603978,-0.024953;0.903655,0.569216,-0.020778;0.911799,0.540156,-0.017358",index2,thumb1
"0.770310,0.804958,-0.024955;0.758716,0.714449,-0.029543;0.803342,0.654028,-0.032809;0.851826,0.631467,-0.035921","0.758112,0.607851,-0.002760;0.761723,0.511409,-0.011735;0.767344,0.452333,-0.022827;0.769892,0.402373,-0.033456","0.800700,0.604104,-0.004792;0.805383,0.512342,-0.010175;0.811822,0.453960,-0.022998;0.813900,0.407277,-0.034807","0.839214,0.623320,-0.011728;0.855307,0.554736,-0.027537;0.859081,0.509187,-0.048295;0.858172,0.473876,-0.063903","0.873636,0.655707,-0.021139;0.871009,0.613151,-0.041789;0.854161,0.626075,-0.051561;0.838103,0.646576,-0.058532",pinky5,thumb1
"0.759631,0.778513,-0.013782;0.748320,0.681933,-0.021113;0.765683,0.611397,-0.030124;0.805829,0.574315,-0.038013","0.779438,0.608089,0.015170;0.788037,0.516862,0.005300;0.798796,0.460804,-0.005532;0.811916,0.412380,-0.016316","0.815096,0.614126,0.007774;0.825208,0.540855,-0.023765;0.815957,0.569856,-0.039459;0.806111,0.608452,-0.039650","0.850523,0.628851,-0.003860;0.869553,0.540012,-0.020154;0.880443,0.481840,-0.026390;0.889909,0.435375,-0.028275","0.886685,0.656007,-0.017742;0.905384,0.594618,-0.021266;0.917648,0.551988,-0.019121;0.926897,0.512982,-0.018290",thumb1,middle3
"0.752803,0.787806,-0.018168;0.734087,0.700424,-0.024536;0.748712,0.623227,-0.032294;0.757632,0.555128,-0.038294","0.781693,0.606269,0.015812;0.795607,0.525735,0.002464;0.808528,0.475817,-0.014385;0.822587,0.430249,-0.027126","0.812279,0.605576,0.010812;0.818405,0.512588,0.000387;0.825284,0.455479,-0.013184;0.832557,0.404013,-0.022434","0.842314,0.620974,-0.000013;0.844102,0.526762,-0.013768;0.845728,0.466064,-0.021186;0.848769,0.412657,-0.025458","0.878645,0.649888,-0.014128;0.887597,0.573196,-0.024758;0.890719,0.525361,-0.025862;0.892692,0.482030,-0.025867",index2,ring4
"0.751878,0.778563,-0.020650;0.728791,0.689278,-0.026866;0.740574,0.609002,-0.033233;0.751942,0.541492,-0.037531","0.774690,0.599295,0.010342;0.782910,0.510144,-0.002983;0.794198,0.457546,-0.018276;0.806886,0.411274,-0.030056","0.809376,0.600742,0.007208;0.816378,0.505658,-0.003251;0.825321,0.447657,-0.017284;0.834888,0.399767,-0.027719","0.842900,0.618571,-0.001760;0.849445,0.523407,-0.016488;0.853429,0.464087,-0.027664;0.858914,0.415133,-0.035515","0.880847,0.650763,-0.013730;0.901371,0.584656,-0.026560;0.914005,0.542803,-0.031786;0.925785,0.505581,-0.035374",middle3,ring4
"0.743836,0.783751,-0.011038;0.706683,0.701640,-0.018473;0.705161,0.626022,-0.029606;0.743256,0.597442,-0.038967","0.757185,0.625111,0.017577;0.756362,0.555498,-0.007801;0.749966,0.553412,-0.031689;0.746302,0.570267,-0.043900","0.794769,0.613246,0.008952;0.799516,0.522522,-0.001354;0.798706,0.465268,-0.013939;0.797640,0.420097,-0.022606","0.831986,0.622953,-0.006254;0.838072,0.531847,-0.018068;0.839509,0.473364,-0.026662;0.839301,0.424931,-0.031810","0.869154,0.648597,-0.023790;0.882085,0.576742,-0.030845;0.889313,0.530110,-0.030679;0.894346,0.488157,-0.030146",index2,thumb1
"0.753453,0.780693,-0.012145;0.734492,0.687624,-0.018692;0.736185,0.617282,-0.026995;0.767009,0.584773,-0.034339","0.773784,0.618003,0.011740;0.778078,0.529523,-0.000287;0.782006,0.474289,-0.011088;0.790207,0.426010,-0.022005","0.807329,0.621014,0.002219;0.806547,0.545019,-0.033391;0.791573,0.572012,-0.049925;0.782039,0.609753,-0.050101","0.843130,0.633344,-0.011283;0.853950,0.546398,-0.033055;0.859742,0.488199,-0.041744;0.866420,0.439742,-0.044109","0.879148,0.658554,-0.026385;0.897801,0.600859,-0.034259;0.910503,0.560506,-0.034579;0.920230,0.522857,-0.035038",thumb1,middle3
"0.729017,0.798409,-0.025552;0.696150,0.713306,-0.034244;0.697929,0.632165,-0.040709;0.697667,0.562926,-0.045499","0.748206,0.605240,-0.004634;0.756649,0.514595,-0.018775;0.771580,0.463004,-0.033364;0.787556,0.422515,-0.044084","0.791176,0.601652,-0.005668;0.813388,0.503236,-0.014874;0.829622,0.445877,-0.027429;0.843898,0.402938,-0.037135","0.825634,0.617802,-0.012021;0.847449,0.522452,-0.024879;0.859361,0.462604,-0.036661;0.870721,0.412631,-0.045767","0.857401,0.650499,-0.021276;0.883913,0.586213,-0.035106;0.900192,0.543696,-0.041832;0.915348,0.505408,-0.046318",ring4,middle3
"0.737853,0.787991,-0.014595;0.711251,0.698729,-0.025244;0.704777,0.629725,-0.037611;0.734846,0.595585,-0.048850","0.746261,0.616056,0.007929;0.748175,0.529132,-0.008539;0.748986,0.474059,-0.021050;0.754296,0.426923,-0.032444","0.780330,0.614994,-0.002103;0.775072,0.534604,-0.043071;0.760899,0.573295,-0.058045;0.754268,0.619879,-0.055238","0.816761,0.625026,-0.016946;0.821444,0.533441,-0.043243;0.822632,0.474324,-0.050804;0.826093,0.423453,-0.051196","0.853905,0.649613,-0.033475;0.872335,0.589575,-0.044533;0.884994,0.547387,-0.044960;0.895127,0.505226,-0.044945",thumb1,middle3
"0.762962,0.786185,-0.021802;0.752684,0.702476,-0.028664;0.788352,0.646444,-0.035071;0.827971,0.624091,-0.041771","0.764139,0.605144,-0.007932;0.765473,0.511669,-0.019258;0.769993,0.454227,-0.030284;0.773643,0.406001,-0.040663","0.804041,0.605864,-0.012213;0.814947,0.515133,-0.019900;0.824506,0.461395,-0.031882;0.831570,0.416758,-0.042744","0.837804,0.626375,-0.020752;0.849917,0.551088,-0.034966;0.852144,0.497398,-0.052454;0.851938,0.452738,-0.066813","0.867763,0.660533,-0.031670;0.862585,0.614046,-0.048543;0.843361,0.609764,-0.056619;0.824647,0.614452,-0.063497",pinky5,thumb1
"0.749852,0.784765,-0.021884;0.739146,0.690455,-0.030967;0.773382,0.625512,-0.040410;0.819380,0.607891,-0.047920","0.759590,0.600866,-0.010302;0.765958,0.505920,-0.021937;0.771871,0.452029,-0.029038;0.777153,0.408575,-0.033988","0.800876,0.603697,-0.011574;0.822210,0.507063,-0.028362;0.834658,0.442871,-0.041522;0.845666,0.395655,-0.049282","0.838120,0.622285,-0.015950;0.848961,0.556489,-0.038659;0.830548,0.576147,-0.045013;0.816160,0.600264,-0.042456","0.870528,0.647131,-0.022425;0.885279,0.578297,-0.038201;0.891318,0.533949,-0.042291;0.896299,0.495044,-0.042165",ring4,thumb1
"0.731856,0.800229,-0.023987;0.680442,0.732767,-0.038539;0.641665,0.681948,-0.051601;0.610506,0.644112,-0.064226","0.737870,0.608397,-0.016270;0.736807,0.519079,-0.032718;0.740998,0.464856,-0.047984;0.746324,0.419049,-0.059793","0.780000,0.603680,-0.020503;0.800800,0.505514,-0.034749;0.815456,0.447960,-0.047023;0.826318,0.401023,-0.055825","0.816479,0.617203,-0.029145;0.832992,0.522695,-0.046660;0.841216,0.461584,-0.057961;0.846373,0.409021,-0.065588","0.848877,0.646104,-0.040161;0.870927,0.575499,-0.055658;0.883152,0.529028,-0.061446;0.892037,0.486274,-0.065224",ring4,middle3
"0.747995,0.792498,-0.025785;0.705343,0.716498,-0.037515;0.679484,0.651459,-0.048185;0.655547,0.600975,-0.057261","0.760785,0.604962,-0.007780;0.760908,0.511500,-0.025076;0.765265,0.456672,-0.041112;0.771070,0.409588,-0.052721","0.797148,0.603824,-0.009550;0.805510,0.506169,-0.023951;0.811569,0.443652,-0.037458;0.815878,0.392418,-0.046838","0.832111,0.617730,-0.016771;0.833453,0.524537,-0.033592;0.830221,0.466268,-0.044484;0.826915,0.416565,-0.051636","0.869053,0.646419,-0.027092;0.887403,0.579746,-0.040710;0.895990,0.537126,-0.046356;0.902292,0.498367,-0.050126",middle3,ring4
"0.762187,0.795656,-0.016983;0.745739,0.705172,-0.018503;0.774093,0.643648,-0.021125;0.807889,0.615911,-0.024304","0.763614,0.606021,0.008444;0.759953,0.519454,0.002001;0.762724,0.464955,-0.007535;0.764062,0.418514,-0.017686","0.805609,0.606533,0.001511;0.819564,0.516994,-0.004653;0.827849,0.466489,-0.017909;0.830116,0.427517,-0.029813","0.841140,0.626180,-0.010220;0.856881,0.546752,-0.027908;0.852209,0.505251,-0.048358;0.843297,0.474281,-0.063581","0.871635,0.657333,-0.023564;0.863322,0.603085,-0.044179;0.841074,0.617041,-0.053369;0.820599,0.640585,-0.060607",pinky5,thumb1
"0.768093,0.793451,-0.022239;0.754523,0.705621,-0.029172;0.785618,0.644272,-0.035510;0.826381,0.616875,-0.041819","0.774134,0.597478,-0.003929;0.778080,0.506989,-0.014547;0.785707,0.450852,-0.025879;0.790917,0.403703,-0.037099","0.816917,0.601870,-0.008922;0.839260,0.511482,-0.017069;0.854868,0.459598,-0.029609;0.864094,0.415225,-0.041014","0.850744,0.626488,-0.018708;0.867122,0.545170,-0.037119;0.869511,0.492515,-0.056562;0.868246,0.447236,-0.071714","0.879213,0.664249,-0.030491;0.869173,0.617743,-0.053234;0.847169,0.619089,-0.063604;0.826651,0.626473,-0.071564",pinky5,thumb1
"0.753301,0.786196,-0.014435;0.734375,0.698507,-0.019541;0.749788,0.625262,-0.026246;0.763752,0.564019,-0.031081","0.771214,0.609656,0.013588;0.783121,0.530438,0.001320;0.795355,0.480562,-0.013510;0.807745,0.438881,-0.024936","0.801820,0.607208,0.007733;0.803243,0.520529,-0.002301;0.806095,0.468435,-0.014063;0.808680,0.424837,-0.021846","0.832025,0.619316,-0.003021;0.830229,0.527279,-0.015812;0.828390,0.469550,-0.021335;0.827109,0.420840,-0.024512","0.867803,0.645283,-0.016521;0.871190,0.572781,-0.026673;0.870123,0.527286,-0.027221;0.867771,0.487882,-0.026789",index2,ring4
"0.772277,0.784450,-0.022791;0.755369,0.690593,-0.029592;0.784640,0.622671,-0.037013;0.829233,0.607465,-0.043770","0.772414,0.600593,-0.003359;0.771373,0.511219,-0.014209;0.776472,0.456455,-0.023254;0.781001,0.412133,-0.030567","0.814106,0.604737,-0.006034;0.834572,0.510003,-0.013687;0.848171,0.453701,-0.022603;0.856635,0.406575,-0.029369","0.850837,0.627267,-0.013736;0.871431,0.557068,-0.030137;0.874068,0.525702,-0.043168;0.876070,0.503549,-0.049895","0.879488,0.658878,-0.023999;0.867947,0.602354,-0.035314;0.844698,0.589165,-0.038809;0.828494,0.585330,-0.041247",thumb1,ring4
"0.754013,0.774556,-0.015998;0.724068,0.698246,-0.028290;0.713006,0.631387,-0.043417;0.745073,0.589295,-0.055294","0.770416,0.617597,0.011041;0.769007,0.555511,-0.021545;0.759662,0.582952,-0.050032;0.754501,0.618908,-0.063497","0.801980,0.604408,0.004813;0.805494,0.504487,-0.007159;0.806346,0.446605,-0.018440;0.807169,0.399221,-0.025606","0.836211,0.615101,-0.008933;0.840539,0.526462,-0.020654;0.841966,0.472802,-0.026728;0.839947,0.427013,-0.029671","0.870528,0.644314,-0.025668;0.883255,0.579128,-0.029530;0.890419,0.540836,-0.025390;0.894433,0.508180,-0.021952",index2,thumb1
"0.665019,0.830173,-0.028092;0.619029,0.746978,-0.038191;0.600616,0.668909,-0.045673;0.580822,0.603455,-0.051898","0.661743,0.630885,-0.012102;0.650508,0.535403,-0.027864;0.648837,0.479578,-0.042619;0.648483,0.431334,-0.053430","0.703848,0.622497,-0.013032;0.702908,0.520419,-0.025786;0.706015,0.456647,-0.040117;0.708625,0.404945,-0.050807","0.740272,0.635930,-0.019012;0.747724,0.545317,-0.035378;0.754101,0.484824,-0.047816;0.758154,0.432775,-0.055959","0.772917,0.662731,-0.027782;0.767988,0.585761,-0.043144;0.762422,0.538927,-0.049373;0.756245,0.497582,-0.053217",ring4,pinky5
"0.663161,0.834150,-0.028263;0.613730,0.752527,-0.038386;0.589254,0.678334,-0.046565;0.567667,0.614211,-0.053309","0.660932,0.635769,-0.009291;0.650890,0.538915,-0.026207;0.649223,0.482420,-0.041490;0.648696,0.432430,-0.052609","0.703040,0.628318,-0.011176;0.702048,0.527102,-0.026027;0.705110,0.463242,-0.041179;0.707379,0.409341,-0.052230","0.739042,0.640403,-0.018793;0.746727,0.551864,-0.037802;0.752035,0.489954,-0.051435;0.754455,0.435733,-0.059871","0.770999,0.664161,-0.029424;0.764337,0.586835,-0.046677;0.758634,0.538750,-0.054376;0.752271,0.496463,-0.059130",ring4,pinky5
"0.657875,0.824453,-0.011980;0.623414,0.729178,-0.011090;0.620275,0.650948,-0.012194;0.613135,0.586253,-0.011996","0.656086,0.642524,0.020772;0.659970,0.570141,0.013710;0.667854,0.521343,0.002306;0.676746,0.478493,-0.007207","0.682951,0.635322,0.014715;0.682915,0.555082,0.010878;0.687506,0.501678,0.001105;0.691873,0.455345,-0.006715","0.708975,0.643281,0.003323;0.703671,0.561715,-0.005384;0.700859,0.510168,-0.013688;0.697351,0.466876,-0.019652","0.736499,0.660038,-0.010844;0.721532,0.591001,-0.022059;0.708231,0.550472,-0.028023;0.694942,0.517420,-0.031939",index2,pinky5
"0.683562,0.799397,-0.023518;0.650701,0.715597,-0.029683;0.650395,0.638583,-0.034064;0.648946,0.575678,-0.036557","0.695290,0.622613,-0.003939;0.691970,0.540291,-0.016868;0.696024,0.489078,-0.029900;0.701891,0.447740,-0.039399","0.730770,0.615401,-0.003938;0.732550,0.527571,-0.011916;0.735358,0.471502,-0.022430;0.739035,0.429659,-0.030110","0.764174,0.625545,-0.008708;0.765473,0.537313,-0.018975;0.763746,0.483134,-0.027883;0.762827,0.438043,-0.034664","0.798920,0.651610,-0.016480;0.811922,0.591338,-0.026805;0.816032,0.552846,-0.031738;0.818284,0.519188,-0.035005",middle3,ring4
"0.681742,0.792845,-0.015314;0.646926,0.715386,-0.024147;0.633769,0.648827,-0.035030;0.665902,0.609297,-0.042055","0.685459,0.637895,0.009217;0.680709,0.576188,-0.019532;0.674879,0.605063,-0.044186;0.672673,0.639060,-0.055499","0.717161,0.621471,0.005075;0.716248,0.529645,-0.004382;0.714200,0.473616,-0.013570;0.711986,0.425674,-0.019208","0.751960,0.628444,-0.005845;0.752773,0.547673,-0.014590;0.752585,0.501239,-0.018921;0.749376,0.461886,-0.020604","0.786986,0.653295,-0.019634;0.796884,0.595038,-0.021602;0.801400,0.561970,-0.017209;0.802624,0.534622,-0.013344",thumb1,index2
"0.662945,0.794050,-0.017078;0.632162,0.709065,-0.019621;0.634566,0.636627,-0.022101;0.640042,0.577333,-0.023367","0.672127,0.635177,0.007842;0.679556,0.569331,-0.001007;0.688489,0.521475,-0.011463;0.697320,0.481844,-0.019435","0.699171,0.629836,0.005983;0.704690,0.557632,-0.000029;0.709901,0.506784,-0.008514;0.714201,0.461916,-0.014490","0.723178,0.637295,-0.000680;0.720928,0.563410,-0.011256;0.717042,0.515226,-0.018279;0.713074,0.473682,-0.022108","0.746254,0.652611,-0.009940;0.735993,0.587544,-0.021477;0.726283,0.547139,-0.026685;0.716194,0.512680,-0.029417",index2,pinky5
"0.672668,0.808431,-0.022682;0.645186,0.728713,-0.031751;0.649299,0.653870,-0.039540;0.659874,0.590390,-0.044899","0.678838,0.626936,0.000450;0.674727,0.550657,-0.013310;0.678481,0.504618,-0.027722;0.685933,0.468486,-0.037897","0.714278,0.619585,-0.001271;0.706547,0.529223,-0.011060;0.704343,0.467042,-0.024637;0.703268,0.416168,-0.034010","0.749287,0.633535,-0.007812;0.755607,0.553208,-0.019770;0.758611,0.505001,-0.029891;0.759172,0.463018,-0.036697","0.783857,0.664352,-0.017107;0.799696,0.606868,-0.027381;0.806790,0.571097,-0.031204;0.810471,0.537284,-0.033370",index2,middle3
"0.688758,0.792407,-0.019332;0.672415,0.702031,-0.026657;0.690929,0.636133,-0.034546;0.731169,0.613501,-0.040103","0.685248,0.625803,-0.005684;0.687030,0.536707,-0.015826;0.690247,0.485537,-0.021126;0.693770,0.444504,-0.023963","0.720714,0.623784,-0.005747;0.735782,0.535124,-0.021562;0.744144,0.476966,-0.032041;0.752738,0.431239,-0.036657","0.753802,0.637298,-0.008749;0.754910,0.579790,-0.031384;0.735811,0.617408,-0.034067;0.723169,0.654471,-0.027233","0.783916,0.656264,-0.013471;0.789762,0.591584,-0.027474;0.790850,0.550061,-0.028933;0.791460,0.512866,-0.026219",thumb1,ring4
"0.699559,0.781833,-0.023002;0.680482,0.702818,-0.032474;0.691917,0.634203,-0.040263;0.701262,0.573373,-0.046251","0.721392,0.610446,-0.007468;0.726851,0.524700,-0.021373;0.734451,0.472234,-0.034588;0.743093,0.428660,-0.044081","0.754994,0.611310,-0.007818;0.765127,0.522830,-0.016227;0.773875,0.467319,-0.027040;0.781490,0.423516,-0.034979","0.785671,0.629057,-0.012436;0.792548,0.542046,-0.022249;0.793883,0.489178,-0.031199;0.794553,0.444771,-0.038320","0.817042,0.662799,-0.019941;0.836405,0.607970,-0.029242;0.845280,0.573761,-0.033512;0.851318,0.543577,-0.036434",middle3,ring4
"0.691180,0.798594,-0.011487;0.674119,0.707139,-0.012193;0.687226,0.634660,-0.015091;0.698425,0.574598,-0.017355","0.710009,0.625641,0.020665;0.719237,0.552849,0.010148;0.730861,0.504833,-0.004588;0.744083,0.462625,-0.015859","0.736157,0.625985,0.014952;0.741993,0.548200,0.007090;0.748506,0.497078,-0.006693;0.756188,0.450564,-0.017034","0.759246,0.639442,0.004327;0.762307,0.561599,-0.006402;0.762725,0.511012,-0.014877;0.764055,0.467222,-0.020405","0.783227,0.661679,-0.008888;0.779478,0.588676,-0.019336;0.774126,0.543088,-0.023182;0.768722,0.503630,-0.025322",index2,pinky5
"0.695245,0.827500,-0.022742;0.673416,0.737897,-0.032810;0.692360,0.661136,-0.042709;0.710655,0.595204,-0.051323","0.688302,0.631938,-0.002795;0.705087,0.545367,-0.021747;0.720386,0.488605,-0.040580;0.734670,0.439744,-0.055219","0.721436,0.627651,-0.006518;0.730030,0.533131,-0.022220;0.738290,0.476109,-0.039071;0.744703,0.423863,-0.051987","0.751910,0.641966,-0.015288;0.757137,0.549768,-0.033050;0.759364,0.497988,-0.044415;0.758568,0.451735,-0.052469","0.785006,0.671126,-0.027151;0.782462,0.596862,-0.045007;0.774871,0.551406,-0.053147;0.763246,0.511058,-0.058444",index2,pinky5
